DateTime,AddedIPs,RemovedIPs
1531029129,11,7
1531029617,11,11
1531030088,9,4
1531030564,5,5
1531031051,5,6
1531031527,4,6
1531032004,7,6
1531032489,8,11
1531032967,7,6
1531033447,6,5
1531033925,6,7
1531034407,7,2
1531034886,4,6
1531035364,4,4
1531035846,7,8
1531036327,7,9
1531036827,12,8
1531037287,8,5
1531037765,6,7
1531038248,5,4
1531038730,3,2
1531039204,1,0
1531076891,0,1
1531077372,1,0
1531098250,0,5
1531098726,9,8
1531099207,11,17
1531099687,16,11
1531100406,8,10
1531100885,11,6
1531101365,6,9
1531101845,8,11
1531102325,7,5
1531102805,5,4
1531103286,8,11
1531103763,8,5
1531104247,6,7
1531104965,10,6
1531105450,5,7
1531105924,4,4
1531106406,4,6
1531106886,6,7
1531107366,11,6
1531107844,6,12
1531108331,8,5
1531108816,7,9
1531109287,8,5
1531109767,9,6
1531110486,4,6
1531110969,7,9
1531111450,6,5
1531111926,8,7
1531112419,7,9
1531112886,6,5
1531113370,6,7
1531113845,7,6
1531114328,8,7
1531114804,6,4
1531115290,4,5
1531115765,14,15
1531116247,6,4
1531116728,3,4
1531117205,4,6
1531117686,8,4
1531118169,4,4
1531118648,2,8
1531119127,8,9
1531119609,10,4
1531120090,4,4
1531120566,6,8
1531121046,6,7
1531121529,11,4
1531122007,4,7
1531122485,5,5
1531122968,7,10
1531123447,9,3
1531123926,6,10
1531124407,5,7
1531124886,5,3
1531125367,3,0
1531126828,0,1
1531127287,1,0
1531184889,2,11
1531185368,15,11
1531185846,8,9
1531186327,13,11
1531186804,8,7
1531187289,10,15
1531187767,12,6
1531188245,6,9
1531188725,13,6
1531189206,4,8
1531189690,11,7
1531190164,6,6
1531190647,5,6
1531191127,4,9
1531191624,6,5
1531192090,8,7
1531192566,5,5
1531193045,5,7
1531193531,8,7
1531194005,5,6
1531194486,8,9
1531194966,6,8
1531195448,8,6
1531195927,5,7
1531196405,8,6
1531196887,4,4
1531197369,7,10
1531198088,10,5
1531198565,6,4
1531199046,6,4
1531199530,5,7
1531200009,4,6
1531200485,7,8
1531200964,8,8
1531201450,7,5
1531201924,6,10
1531202412,17,13
1531202887,4,5
1531203367,6,6
1531203845,6,7
1531204330,6,8
1531204806,8,6
1531205287,7,9
1531205768,7,8
1531206246,8,6
1531206724,7,8
1531207208,7,5
1531207686,6,10
1531208168,6,5
1531208646,8,8
1531209129,6,7
1531209617,8,7
1531210086,6,4
1531210567,7,11
1531211047,9,4
1531211528,3,1
1531212006,1,0
1531230005,0,1
1531230490,1,0
1531231448,0,1
1531231929,1,0
1531271285,1,9
1531271766,14,15
1531272246,10,7
1531272728,12,12
1531273204,8,8
1531273689,11,9
1531274166,10,7
1531274646,4,8
1531275124,8,8
1531275610,4,7
1531276086,6,6
1531276805,11,7
1531277289,5,9
1531277765,9,7
1531278247,7,9
1531278726,10,6
1531279208,6,8
1531279686,8,7
1531280165,10,11
1531280644,10,6
1531281125,9,8
1531281610,8,6
1531282085,5,7
1531282568,10,7
1531283045,3,5
1531283532,6,7
1531284005,5,5
1531284487,5,6
1531285215,8,8
1531285688,4,8
1531286167,9,4
1531286644,4,8
1531287126,11,9
1531287607,9,8
1531288089,7,6
1531288566,15,15
1531289045,5,8
1531289526,7,9
1531290010,7,4
1531290486,8,10
1531290964,6,7
1531291447,7,5
1531291925,6,6
1531292425,5,7
1531292887,9,7
1531293375,5,4
1531293847,5,8
1531294328,7,6
1531294805,8,7
1531295290,4,4
1531295765,6,5
1531296247,7,9
1531296724,12,9
1531297209,6,6
1531297685,5,1
1531298170,1,0
1531357686,4,11
1531358168,7,8
1531358645,10,15
1531359128,10,6
1531359605,9,13
1531360086,16,9
1531360564,7,7
1531361050,5,8
1531361525,7,6
1531362005,7,6
1531362487,6,10
1531362966,9,9
1531363449,8,9
1531363925,9,6
1531364413,4,9
1531364888,7,2
1531365367,5,7
1531365845,7,6
1531366327,8,7
1531366808,10,7
1531367287,8,10
1531367764,10,7
1531368246,6,6
1531368727,6,5
1531369204,7,9
1531369684,7,5
1531370164,7,8
1531370647,9,6
1531371128,7,6
1531371615,9,9
1531372086,7,8
1531372572,10,8
1531373045,10,9
1531373525,9,10
1531374005,11,8
1531374490,6,8
1531374967,17,16
1531375446,8,6
1531375928,8,9
1531376407,6,8
1531376887,5,8
1531377365,7,7
1531377850,6,7
1531378327,6,12
1531378813,16,6
1531379286,6,3
1531380006,5,9
1531380728,8,8
1531381204,8,8
1531381685,6,3
1531382167,4,7
1531382646,8,7
1531383126,12,7
1531383605,3,7
1531384090,8,2
1531384568,1,0
1531412405,0,1
1531412890,1,1
1531413367,1,0
1531420807,0,1
1531421289,1,0
1531443846,1,8
1531444327,13,13
1531444805,13,11
1531445287,9,10
1531445763,8,11
1531446247,10,6
1531446729,6,6
1531447447,9,13
1531447924,8,3
1531448408,3,7
1531448885,8,9
1531449363,9,6
1531449846,7,7
1531450331,9,2
1531450817,3,5
1531451287,4,8
1531451768,7,9
1531452248,8,7
1531452727,7,9
1531453204,9,6
1531453688,8,10
1531454168,11,9
1531454646,10,6
1531455128,3,4
1531455608,4,5
1531456086,4,8
1531456564,10,8
1531457049,6,3
1531457525,4,8
1531458021,9,10
1531458488,3,3
1531458968,12,16
1531459446,7,4
1531460169,8,11
1531460647,7,7
1531461125,7,7
1531461615,15,15
1531462091,7,7
1531462564,6,6
1531463045,5,7
1531463529,8,5
1531464007,6,9
1531464486,6,8
1531464965,7,6
1531465446,7,3
1531465928,4,6
1531466404,7,7
1531466888,6,8
1531467364,8,7
1531467850,8,7
1531468325,5,7
1531468813,10,4
1531469286,3,5
1531469771,9,7
1531470245,6,7
1531470729,7,0
1531471205,0,1
1531472165,1,0
1531476488,0,1
1531477451,1,0
1531513931,1,1
1531517288,1,1
1531523766,0,1
1531524244,1,0
1531525209,0,1
1531526649,1,0
1531530975,7,14
1531531689,11,8
1531532406,8,10
1531532893,12,14
1531533365,11,9
1531533850,10,9
1531534325,7,5
1531534810,4,6
1531535286,10,10
1531535766,6,5
1531536248,5,8
1531536728,8,6
1531537210,4,5
1531537687,7,4
1531538167,4,5
1531538649,6,7
1531539125,9,5
1531539608,3,7
1531540088,8,7
1531540569,6,7
1531541050,9,10
1531541524,10,8
1531542005,6,6
1531542490,5,3
1531542965,3,9
1531543450,9,5
1531543925,4,3
1531544425,5,13
1531544887,9,8
1531545368,16,13
1531545847,7,5
1531546327,5,12
1531546808,12,6
