DateTime,Entries,UniqueIPs
1531029129,4952,4952
1531029617,4952,4952
1531030088,4957,4957
1531030564,4957,4957
1531031051,4956,4956
1531031527,4954,4954
1531032004,4955,4955
1531032489,4952,4952
1531032967,4953,4953
1531033447,4954,4954
1531033925,4953,4953
1531034407,4958,4958
1531034886,4956,4956
1531035364,4956,4956
1531035846,4955,4955
1531036327,4953,4953
1531036827,4957,4957
1531037287,4960,4960
1531037765,4959,4959
1531038248,4960,4960
1531038730,4961,4961
1531039204,4962,4962
1531076891,4961,4961
1531077372,4962,4962
1531098250,4957,4957
1531098726,4958,4958
1531099207,4952,4952
1531099687,4957,4957
1531100406,4955,4955
1531100885,4960,4960
1531101365,4957,4957
1531101845,4954,4954
1531102325,4956,4956
1531102805,4957,4957
1531103286,4954,4954
1531103763,4957,4957
1531104247,4956,4956
1531104965,4960,4960
1531105450,4958,4958
1531105924,4958,4958
1531106406,4956,4956
1531106886,4955,4955
1531107366,4960,4960
1531107844,4954,4954
1531108331,4957,4957
1531108816,4955,4955
1531109287,4958,4958
1531109767,4961,4961
1531110486,4959,4959
1531110969,4957,4957
1531111450,4958,4958
1531111926,4959,4959
1531112419,4957,4957
1531112886,4958,4958
1531113370,4957,4957
1531113845,4958,4958
1531114328,4959,4959
1531114804,4961,4961
1531115290,4960,4960
1531115765,4959,4959
1531116247,4961,4961
1531116728,4960,4960
1531117205,4958,4958
1531117686,4962,4962
1531118169,4962,4962
1531118648,4956,4956
1531119127,4955,4955
1531119609,4961,4961
1531120090,4961,4961
1531120566,4959,4959
1531121046,4958,4958
1531121529,4965,4965
1531122007,4962,4962
1531122485,4962,4962
1531122968,4959,4959
1531123447,4965,4965
1531123926,4961,4961
1531124407,4959,4959
1531124886,4961,4961
1531125367,4964,4964
1531126828,4963,4963
1531127287,4964,4964
1531184889,4955,4955
1531185368,4959,4959
1531185846,4958,4958
1531186327,4960,4960
1531186804,4961,4961
1531187289,4956,4956
1531187767,4962,4962
1531188245,4959,4959
1531188725,4966,4966
1531189206,4962,4962
1531189690,4966,4966
1531190164,4966,4966
1531190647,4965,4965
1531191127,4960,4960
1531191624,4961,4961
1531192090,4962,4962
1531192566,4962,4962
1531193045,4960,4960
1531193531,4961,4961
1531194005,4960,4960
1531194486,4959,4959
1531194966,4957,4957
1531195448,4959,4959
1531195927,4957,4957
1531196405,4959,4959
1531196887,4959,4959
