DateTime,AddedIPs,RemovedIPs
1509509102,0,1
1509509402,1,0
1509911702,0,1
1509912001,1,0
1510009501,1,0
1510101302,0,1
1510101902,1,0
1510135201,0,1
1510135802,1,0
1510227901,0,1
1510228202,1,0
1510242901,0,1
1510243502,1,0
1510302901,1,0
1510303201,0,1
1510660502,0,1
1510660802,1,0
1510923301,0,1
1510923901,1,0
1510983902,0,1
1510984201,1,0
1511015101,0,1
1511015401,1,0
1511104502,0,1
1511104802,1,0
1511215502,0,1
1511215802,1,0
1511328302,0,1
1511328902,1,0
1511472302,0,1
1511472602,1,0
1511519102,0,1
1511519702,1,0
1511534702,0,1
1511535002,1,0
1511592902,0,1
1511593501,1,0
1512075901,1,0
1512423602,1,0
1513341902,0,1
1513342202,1,0
1513364402,1,0
1514376602,0,1
1514377501,1,0
1514770502,0,1
1514771101,1,0
1514837102,0,1
1514837402,1,0
1514855402,0,1
1514855701,1,0
1514876701,0,1
1514877301,1,0
1514937002,0,1
1514937302,1,0
1514989802,0,1
1514990102,1,0
1515289502,0,1
1515290102,1,0
1515330902,0,1
1515331202,1,0
1515500102,0,1
1515500401,1,0
1515520202,0,1
1515520802,1,0
1515523502,0,1
1515524402,1,0
1515532801,0,1
1515533102,1,0
1515575702,0,1
1515576301,1,0
1515617402,0,1
1515618002,1,0
1515659702,0,1
1515660301,1,0
1515726902,0,1
1515727501,1,0
1515743701,0,1
1515744602,1,0
1515900901,0,1
1515901201,1,0
1515927902,0,1
1515928502,1,0
1515933901,0,1
1515934202,1,0
1516170901,0,1
1516171502,1,0
1516670401,4,0
1516672202,1,0
1516672802,3,0
1516673102,3,0
1516676101,0,1
1516679402,1,0
1516689302,0,3
1516689602,0,6
1516691702,0,1
1516692602,0,1
1516770902,0,1
1516771201,1,0
1516796101,0,1
1516796702,1,0
1516805702,0,1
1516806002,1,0
1516892102,0,1
1516893002,1,0
1517386801,0,1
1517387102,1,0
1517475602,0,1
1517476202,1,0
1517521202,0,1
1517521502,1,0
1518015002,0,1
1518015301,1,0
1518068102,0,1
1518068402,1,0
1519483501,0,1
1519484101,1,0
1519530901,0,1
1519531201,1,0
1519532101,0,1
1519532701,1,0
1519565101,0,1
1519565702,1,0
1519682702,0,1
1519683302,1,0
1519707302,0,1
1519707602,1,0
1519712101,0,1
1519712402,1,0
1519730702,0,1
1519731302,1,0
1519746901,0,1
1519747802,1,0
1519761901,0,1
1519762202,1,0
1519868702,0,1
1519869302,1,0
1519871702,0,1
1519872002,1,0
1519907702,0,1
1519908301,1,0
1519973101,0,1
1519973402,1,0
1519976702,0,1
1519977301,1,0
1519978501,0,1
1519978802,1,0
1520061301,0,1
1520061602,1,0
1520104502,0,1
1520104801,1,0
