DateTime,AddedIPs,RemovedIPs
1523840702,1,0
1523929502,1,0
1523995802,0,1
1523996401,1,0
1524027302,1,0
1524028202,1,0
1524028802,11,0
1524034502,0,1
1524036002,0,12
1524089702,2,0
1524090902,0,2
1524093602,0,0
1524096902,0,0
1524099902,0,1
1524100502,2,0
1524101102,2,0
1524101402,9,0
1524103802,1,0
1524120602,0,3
1524121202,0,1
1524122102,0,9
1524124202,0,0
1524129302,1,1
1524158101,1,0
1524162002,0,1
1524165902,1,0
1524168002,0,1
1524176402,1,0
1524177902,2,0
1524180002,10,0
1524206102,0,1
1524206402,0,4
1524206702,0,7
1524209102,0,1
1524244502,1,0
1524248101,0,1
1524250502,0,1
1524250803,1,0
1524255302,2,0
1524258602,0,2
1524260702,1,0
1524261602,3,0
1524261902,9,0
1524292502,0,1
1524293102,0,11
1524295202,0,1
1524309602,0,1
1524309902,1,0
1524323702,2,0
1524326702,0,2
1524335702,0,1
1524336002,1,0
1524338102,1,0
1524339602,1,0
1524340502,2,0
1524340802,9,0
1524345002,0,1
1524345302,1,0
1524351002,0,1
1524351302,1,0
1524380102,0,3
1524380702,0,1
1524381002,0,9
1524405902,0,1
1524406502,1,0
1524420901,1,0
1524424202,0,1
1524432002,1,0
1524435302,1,1
1524438902,0,1
1524445502,2,0
1524446102,1,0
1524447902,2,0
1524448502,1,0
1524448802,7,0
1524449102,0,1
1524449702,1,0
1524465302,0,3
1524465902,0,8
1524467702,0,1
1524468602,0,1
1524492902,3,0
1524496202,0,3
1524521702,2,0
1524522002,0,2
1524524701,2,0
1524525601,1,0
1524526502,1,0
1524526802,6,0
1524527402,3,0
1524552602,0,1
1524553202,0,1
1524553502,0,3
1524553802,0,8
1524561002,0,1
1524561601,1,0
1524570302,0,1
1524570901,1,0
1524626102,0,1
1524626402,1,0
1524652502,0,1
1524652802,1,0
1524687302,0,1
1524687602,1,0
1524724502,0,1
1524725102,1,0
1524740402,0,1
1524741002,1,0
1524768902,0,1
1524769502,1,0
1524861302,0,1
1524861902,1,0
1524882002,0,1
1524882302,1,0
1524921602,0,1
1524921902,1,0
