DateTime,Entries,UniqueIPs
1531347122,1372,1420
1531347722,1374,1422
1531348922,1368,1416
1531350121,1369,1417
1531350722,1374,1422
1531351323,1373,1420
1531351922,1376,1423
1531352522,1370,1416
1531353122,1374,1420
1531353722,1381,1429
1531354922,1379,1426
1531355521,1378,1424
1531356722,1376,1421
1531357321,1370,1415
1531357922,1371,1416
1531359722,1368,1413
1531360921,1349,1391
1531361523,1353,1395
1531362122,1359,1401
1531362722,1356,1397
1531363322,1353,1394
1531364522,1358,1399
1531365123,1357,1399
1531365722,1351,1393
1531366322,1352,1394
1531366922,1363,1407
1531368122,1373,1417
1531369322,1371,1415
1531369922,1363,1407
1531370522,1369,1413
1531371722,1356,1401
1531372322,1353,1398
1531372922,1355,1401
1531374123,1356,1402
1531374722,1358,1404
1531375922,1361,1407
1531376522,1368,1415
1531377722,1366,1413
1531378923,1344,1393
1531379522,1347,1396
1531380121,1341,1390
1531381322,1340,1389
1531383722,1340,1389
1531384322,1341,1390
1531384922,1337,1386
1531386122,1338,1387
1531386721,1337,1387
1531387322,1342,1392
1531387922,1330,1380
1531388522,1335,1386
1531389122,1331,1382
1531389722,1329,1380
1531390322,1342,1393
1531390921,1344,1395
1531392122,1348,1399
1531393922,1352,1403
1531394523,1352,1403
1531395722,1354,1405
1531396321,1357,1408
1531396922,1361,1412
1531398122,1352,1402
1531398722,1355,1405
1531399322,1357,1407
1531399922,1358,1408
1531400522,1367,1417
1531401122,1363,1413
1531401722,1364,1415
1531402922,1361,1412
1531404121,1352,1403
1531405322,1354,1405
1531406522,1344,1394
1531407722,1345,1395
1531408321,1348,1398
1531408923,1356,1407
1531409522,1358,1409
1531410122,1364,1415
1531410722,1373,1425
1531411322,1374,1426
1531412522,1345,1397
1531413122,1354,1406
1531413722,1355,1407
1531414922,1350,1402
1531416122,1345,1396
1531417322,1344,1395
1531417923,1347,1398
1531419122,1348,1399
1531419722,1347,1398
1531420922,1354,1405
1531422122,1354,1405
1531422722,1353,1403
1531423322,1360,1410
1531423922,1375,1426
1531424521,1367,1417
1531426323,1361,1411
1531426922,1364,1414
1531427521,1362,1412
1531428121,1364,1414
1531429322,1362,1411
1531430522,1361,1411
1531431122,1356,1406
1531431721,1359,1409
1531432322,1359,1409
1531432922,1360,1410
1531434122,1360,1410
1531434722,1368,1418
1531435322,1374,1424
1531436521,1373,1423
1531437122,1373,1423
1531437722,1380,1427
1531438322,1383,1430
1531438922,1386,1433
1531439522,1389,1436
1531440122,1382,1429
1531440722,1390,1437
1531441322,1394,1441
1531441922,1396,1443
1531442522,1396,1444
1531443721,1394,1442
1531444922,1391,1439
1531446122,1388,1434
1531447322,1391,1437
1531448522,1384,1430
1531449722,1379,1425
1531450322,1381,1427
1531450922,1385,1431
1531452122,1385,1431
1531452722,1393,1439
1531453322,1397,1443
1531453921,1404,1449
1531454522,1416,1461
1531455122,1421,1466
1531455722,1423,1468
1531456922,1423,1468
1531457522,1428,1474
1531458121,1427,1473
1531458722,1428,1474
1531459322,1429,1475
1531459922,1425,1470
1531461722,1425,1470
1531462322,1428,1473
1531462922,1433,1479
