DateTime,AddedIPs,RemovedIPs
1531293122,0,25
1531293722,1,0
1531294922,1,0
1531296122,0,1
1531297322,0,3
1531298522,0,2
1531299122,1,29
1531299722,1,0
1531300922,2,17
1531302122,5,0
1531304522,1,1
1531305722,2,0
1531306922,1,1
1531308123,0,1
1531310522,1,14
1531311722,1,29
1531312922,0,2
1531313522,0,1
1531315922,2,1
1531317122,0,1
1531318922,0,9
1531319522,1,0
1531320122,1,16
1531320722,1,0
1531322521,0,1
1531323723,0,2
1531324322,3,0
1531324922,2,5
1531325522,0,5
1531326122,1,0
1531327322,0,2
1531327922,2,0
1531329122,3,3
1531330922,0,5
1531332122,3,5
1531333322,0,19
1531334522,1,0
1531335121,3,1
1531335722,0,3
1531336922,0,1
1531338122,1,3
1531339322,0,2
1531340522,1,0
1531341722,0,14
1531342322,1,6
1531344122,6,6
1531344722,0,13
1531345321,4,0
1531345922,6,1
1531347122,1,7
1531347722,1,0
1531348922,0,21
1531350121,1,1
1531350722,3,8
1531351922,1,0
1531353122,3,0
1531353722,4,0
1531354922,1,0
1531355521,1,1
1531356722,0,3
1531359722,0,2
1531360921,3,1
1531361523,5,7
1531362122,3,0
1531362722,1,1
1531363322,0,33
1531364522,3,4
1531365123,1,1
1531365722,1,3
1531366322,0,5
1531366922,6,5
1531368122,13,1
1531369922,0,1
1531370522,5,0
1531371722,1,0
1531372922,2,0
1531374123,1,9
1531374722,3,9
1531375321,0,1
1531375922,1,0
1531376522,3,1
1531378923,4,6
1531379522,1,0
1531380121,1,0
1531381922,0,8
1531382521,0,7
1531383722,1,5
1531384322,1,2
1531384922,1,0
1531386122,1,0
1531386721,2,26
1531387322,4,0
1531387922,1,3
1531388522,1,0
1531389122,5,1
1531390322,6,0
1531390921,1,0
1531392122,2,14
1531393321,0,3
1531393922,2,0
1531395722,1,36
1531396321,2,1
1531396922,3,9
1531398122,0,1
1531398722,3,0
1531399322,0,4
1531400522,6,4
1531401122,0,4
1531401722,1,0
1531402922,0,5
1531404121,1,6
1531405322,1,8
1531406522,1,4
1531407722,0,3
1531408321,1,1
1531408923,3,12
1531409522,1,0
1531410122,0,1
1531410722,3,0
1531411322,0,3
1531412522,0,6
1531413122,1,0
1531413722,1,17
1531414922,1,0
1531417322,0,2
1531417923,1,3
1531418522,0,2
1531419122,1,2
1531419722,0,3
1531420922,2,0
1531422122,2,1
1531422722,0,11
1531423322,6,3
1531423922,5,18
1531424521,0,8
1531426323,1,3
1531426922,2,0
1531427521,1,3
1531429322,0,11
1531430522,0,20
1531431122,0,4
1531431721,0,1
1531434122,1,3
1531434722,1,0
1531435322,1,0
1531436521,0,2
1531437122,1,2
1531437722,5,0
1531438322,3,0
1531438922,4,15
1531439522,0,3
1531440122,0,13
1531440722,6,2
1531441922,0,13
1531443721,0,22
1531444922,0,4
1531446122,0,15
1531447322,1,6
1531448522,1,1
1531449722,0,10
1531450322,3,0
1531450922,3,11
1531452122,2,0
1531452722,1,4
1531453322,2,1
