DateTime,AddedIPs,RemovedIPs
1531374123,80,80
1531374722,79,79
1531375321,77,77
1531375922,80,80
1531376522,71,71
1531377722,77,77
1531378923,35,35
1531379522,77,77
1531380121,80,80
1531381322,80,80
1531381922,28,28
1531382521,80,80
1531383722,69,69
1531384322,80,80
1531384922,80,80
1531386122,80,80
1531386721,78,78
1531387322,80,80
1531387922,80,80
1531388522,77,77
1531389122,80,80
1531389722,80,80
1531390322,80,80
1531390921,80,80
1531392122,78,78
1531393321,31,31
1531393922,80,80
1531394523,45,45
1531395722,73,73
1531396321,71,71
1531396922,80,80
1531398122,55,55
1531398722,80,80
1531399322,80,80
1531399922,80,80
1531400522,80,80
1531401122,80,80
1531401722,80,80
1531402922,80,80
1531404121,80,80
1531405322,80,80
1531406522,80,80
1531407722,78,78
1531408321,80,80
1531408923,80,80
1531409522,80,80
1531410122,74,74
1531410722,80,80
1531411322,80,80
1531412522,67,67
1531413122,80,80
1531413722,80,80
1531414922,55,55
1531416122,80,80
1531417322,17,17
1531417923,72,72
1531418522,76,76
1531419122,69,69
1531419722,79,79
1531420922,80,80
1531422122,80,80
1531422722,80,80
1531423322,80,80
1531423922,79,79
1531424521,80,80
1531425722,77,77
1531426323,80,80
1531426922,80,80
1531427521,80,80
1531428121,80,80
1531429322,78,78
1531430522,52,52
1531431122,80,80
1531431721,74,74
1531432322,77,77
1531432922,80,80
1531434122,79,79
1531434722,80,80
1531435322,80,80
1531436521,80,80
1531437122,75,75
1531437722,71,71
1531438322,80,80
1531438922,80,80
1531439522,80,80
1531440122,80,80
1531440722,80,80
1531441322,80,80
1531441922,80,80
1531442522,80,80
1531443721,77,77
1531444922,79,79
1531446122,77,77
1531447322,80,80
1531448522,60,60
1531449722,78,78
1531450322,79,79
1531450922,74,74
1531452122,79,79
1531452722,78,78
1531453322,80,80
1531453921,80,80
1531454522,80,80
1531455122,79,79
1531455722,80,80
1531456922,45,45
1531457522,80,80
1531458121,77,77
1531458722,80,80
1531459322,70,70
1531459922,80,80
1531460522,80,80
1531461722,67,67
1531462322,80,80
1531462922,80,80
1531464122,76,76
1531465322,79,79
1531465922,7,7
1531466521,80,80
1531467121,79,79
1531467722,61,61
1531468921,30,30
1531469522,77,77
1531470122,80,80
1531471323,79,79
1531471922,80,80
1531472522,21,21
1531473722,64,64
1531474922,77,77
1531475522,80,80
1531476122,80,80
1531476722,80,80
1531477322,80,80
1531477922,80,80
1531478522,73,73
1531479721,80,80
1531480922,80,80
1531482122,80,80
1531483322,80,80
1531483922,80,80
1531484521,79,79
1531485122,80,80
1531485722,80,80
1531486321,65,65
1531486922,76,76
1531488122,71,71
1531489322,75,75
1531489922,63,63
1531490522,80,80
1531491122,78,78
1531491721,80,80
1531492322,80,80
1531492921,80,80
1531493522,80,80
1531494122,80,80
1531495322,80,80
1531495923,80,80
1531496521,78,78
1531497121,80,80
1531497722,66,66
1531498322,79,79
1531498922,75,75
1531500122,80,80
1531501322,76,76
1531501922,80,80
1531502522,80,80
1531503122,78,78
1531503722,34,34
1531504922,80,80
1531506122,65,65
1531507322,75,75
1531508522,79,79
1531509121,73,73
1531509721,76,76
1531510922,75,75
1531512122,79,79
1531513322,78,78
1531513922,65,65
1531514521,80,80
1531515123,80,80
1531515721,80,80
1531516922,80,80
1531518121,79,79
1531518721,80,80
1531519323,80,80
1531519922,80,80
1531520522,78,78
1531521122,80,80
1531521722,28,28
1531522923,80,80
1531523522,80,80
1531524122,80,80
1531525322,74,74
1531525921,38,38
1531526523,80,80
1531527122,80,80
1531527721,80,80
1531528322,77,77
1531528922,79,79
1531529521,80,80
1531530721,76,76
1531531322,11,11
1531531922,60,60
1531532523,80,80
1531533121,78,78
1531533722,80,80
1531534323,78,78
1531534922,75,75
1531535522,80,80
1531536122,80,80
1531536722,80,80
1531537322,74,74
1531537922,80,80
1531538522,80,80
1531539722,78,78
1531540322,80,80
1531540922,80,80
1531542122,68,68
1531542722,80,80
1531543322,80,80
1531543922,80,80
1531544522,80,80
1531545721,78,78
1531546322,80,80
1531546922,80,80
1531547522,78,78
1531548122,78,78
1531548722,80,80
1531549321,80,80
1531549922,80,80
1531550521,78,78
1531551122,80,80
1531551722,80,80
1531552321,80,80
1531552921,80,80
1531553521,80,80
1531554122,80,80
1531554722,80,80
1531555322,72,72
1531556522,80,80
1531557122,80,80
1531557723,80,80
1531559522,80,80
1531560122,80,80
1531560722,80,80
1531561322,78,78
1531563121,79,79
1531563722,77,77
1531564322,79,79
1531564921,79,79
1531565522,80,80
1531566122,80,80
1531566722,80,80
1531567322,16,16
1531567922,72,72
1531568522,80,80
1531569122,80,80
1531569722,80,80
1531570321,80,80
1531570922,32,32
1531571522,80,80
1531572121,80,80
1531572722,80,80
1531573322,80,80
1531574522,71,71
1531575122,80,80
1531575722,80,80
1531576322,80,80
1531576922,80,80
1531577522,80,80
1531578122,77,77
1531578722,71,71
1531579321,79,79
1531579922,80,80
1531580522,80,80
1531581722,47,47
1531582321,80,80
1531582922,80,80
1531583523,79,79
1531584122,78,78
1531584721,80,80
1531585322,80,80
1531585921,80,80
1531587122,67,67
1531587722,80,80
1531588323,80,80
1531588922,80,80
1531589521,80,80
1531590121,80,80
1531590721,75,75
1531591321,80,80
1531592522,63,63
1531593121,80,80
1531593721,80,80
1531594322,80,80
1531594922,75,75
1531595522,80,80
1531596121,80,80
1531596722,80,80
1531597321,80,80
1531597921,76,76
1531598522,74,74
1531599722,79,79
1531600322,80,80
1531600921,80,80
1531601521,80,80
1531602122,80,80
1531602722,80,80
1531603322,80,80
1531603922,45,45
1531604522,79,79
1531605122,80,80
1531605722,80,80
1531606322,80,80
1531606922,80,80
1531607522,79,79
1531608122,80,80
1531608722,80,80
1531609322,80,80
1531609922,80,80
1531610522,80,80
1531611122,80,80
1531611722,80,80
1531612322,80,80
1531612923,80,80
1531613522,80,80
1531614122,79,79
1531614722,75,75
1531615322,75,75
1531615922,79,79
1531616522,17,17
1531617123,80,80
1531617723,80,80
1531618323,80,80
1531618922,67,67
1531619522,80,80
1531620121,80,80
1531620722,80,80
1531621321,80,80
1531622522,36,36
1531623122,80,80
1531623722,80,80
1531624322,80,80
1531624922,80,80
1531625522,80,80
1531626122,80,80
1531626722,71,71
1531627322,61,61
1531628522,76,76
1531629122,80,80
1531629722,80,80
1531630322,80,80
1531630921,75,75
1531632122,80,80
1531632721,80,80
1531633322,80,80
1531633921,80,80
1531634521,79,79
1531635122,80,80
1531635722,80,80
1531636322,70,70
1531636922,80,80
1531637522,80,80
1531638122,80,80
1531639322,79,79
1531639922,80,80
1531640522,80,80
1531641722,80,80
1531642322,80,80
1531642921,80,80
1531644122,73,73
1531644723,80,80
1531645322,80,80
1531645922,80,80
1531646522,80,80
1531647122,80,80
1531647722,80,80
1531648922,76,76
1531649522,80,80
1531650122,80,80
1531650722,80,80
1531651321,75,75
1531651922,80,80
1531652521,80,80
1531653122,80,80
1531653722,80,80
1531654322,80,80
1531655522,80,80
1531656722,80,80
1531657322,80,80
1531657922,80,80
1531658522,72,72
1531659121,80,80
1531659722,80,80
1531660322,77,77
1531660922,80,80
1531661522,80,80
1531662122,77,77
1531662722,80,80
1531663321,80,80
1531664521,80,80
1531665122,80,80
1531665722,61,61
1531666922,79,79
1531667523,80,80
1531668122,80,80
1531669322,80,80
1531669922,80,80
1531670522,80,80
1531671122,80,80
1531671722,80,80
1531672321,80,80
1531672922,79,79
1531673522,80,80
1531674723,78,78
1531675322,80,80
1531675922,80,80
1531677722,80,80
1531678321,80,80
1531678921,80,80
1531679522,80,80
1531680122,80,80
1531680721,75,75
1531681922,58,58
1531682521,80,80
1531683722,79,79
1531684322,76,76
1531684922,80,80
1531685522,80,80
1531686122,80,80
1531687322,73,73
1531687922,78,78
1531689721,79,79
1531690322,79,79
1531690922,80,80
1531691522,80,80
1531692122,80,80
1531692722,80,80
1531693322,80,80
1531693921,80,80
1531694522,80,80
1531695122,80,80
1531695721,80,80
1531696322,76,76
1531696921,75,75
1531697522,80,80
1531698121,80,80
1531698721,80,80
1531699322,80,80
1531700521,80,80
1531701121,80,80
1531701721,80,80
1531702922,80,80
1531703522,37,37
1531704122,80,80
1531705321,79,79
1531705922,80,80
1531706522,80,80
1531707723,76,76
1531708322,79,79
1531708922,80,80
1531710121,78,78
1531710723,53,53
1531711322,80,80
1531711922,76,76
1531712522,80,80
1531713121,80,80
1531713722,80,80
1531714922,77,77
1531715522,79,79
1531716122,80,80
1531716722,79,79
1531717322,80,80
1531717923,80,80
1531718522,69,69
1531719122,80,80
1531719722,65,65
1531720322,80,80
1531720922,80,80
1531721522,80,80
1531722122,80,80
1531722722,80,80
1531723322,79,79
1531723922,67,67
1531724522,80,80
1531725123,80,80
1531725722,80,80
1531726322,80,80
1531726922,80,80
1531727522,80,80
1531728721,70,70
1531729322,64,64
1531729922,74,74
1531730522,80,80
1531731722,78,78
1531732922,80,80
1531733522,80,80
1531734122,80,80
1531734722,80,80
1531735322,80,80
