DateTime,AddedIPs,RemovedIPs
1531359122,90,90
1531359722,91,91
1531360322,75,75
1531360921,78,79
1531362122,99,98
1531363322,96,96
1531364522,73,73
1531365123,82,82
1531365722,75,75
1531366322,40,40
1531366922,30,30
1531367522,47,47
1531368121,63,63
1531369322,90,90
1531370522,82,82
1531371122,61,61
1531371722,50,50
1531372322,46,46
1531372922,57,57
1531374123,69,69
1531374722,58,58
1531375321,26,26
1531376522,87,87
1531377122,39,39
1531377722,33,33
1531378321,30,30
1531378923,40,40
1531380121,62,62
1531380721,31,31
1531381322,49,49
1531382521,84,84
1531383122,50,50
1531383722,41,41
1531384322,24,24
1531384922,50,50
1531386122,63,63
1531386721,27,27
1531387322,16,16
1531388522,72,72
1531389122,39,39
1531389722,39,39
1531390322,47,47
1531390921,37,37
1531392122,62,62
1531393321,63,63
1531393922,55,55
1531394523,40,40
1531395122,61,61
1531395722,64,64
1531396321,74,74
1531396922,96,96
1531397522,49,49
1531398122,62,62
1531398722,40,40
1531399322,45,45
1531399922,45,45
1531400522,43,43
1531401122,80,80
1531401722,46,46
1531402321,76,76
1531402922,53,53
1531404121,86,86
1531405322,83,83
1531406522,77,77
1531407722,68,68
1531408321,60,60
1531408923,41,41
1531409522,40,40
1531410122,33,33
1531410722,69,69
1531411322,75,75
1531412522,80,80
1531413122,60,60
1531413722,68,68
1531414322,65,65
1531414922,84,84
1531416122,91,91
1531417322,90,90
1531418522,75,75
1531419121,70,70
1531419721,57,57
1531420322,57,57
1531420922,48,48
1531422122,89,89
1531423322,90,90
1531423921,97,97
1531424521,53,53
1531425722,73,73
1531426323,86,86
1531426922,10,10
1531427521,85,85
1531428121,69,69
1531429322,97,97
1531430522,79,79
1531431721,59,59
1531432922,80,80
1531434722,95,95
1531435322,17,17
1531436521,99,99
1531437722,100,100
1531438922,100,100
1531440122,100,100
1531440722,32,32
1531441322,82,82
1531442522,100,100
1531443721,98,98
1531444922,99,99
1531446122,97,97
1531446722,74,74
1531447322,94,94
1531448522,100,100
1531449121,43,43
1531449722,74,74
1531450922,80,80
1531451522,38,38
1531452122,44,44
1531452722,15,15
1531453321,56,56
1531453921,40,40
1531454522,47,47
1531455722,70,70
1531456321,51,51
1531456922,52,52
1531458121,84,84
1531458722,67,67
1531459322,57,57
1531459922,68,68
1531460522,54,54
1531461722,70,70
1531462922,60,60
1531463522,14,14
1531464122,37,37
1531465322,86,86
1531465922,62,62
1531466521,64,64
1531467722,82,82
1531468921,86,86
1531469522,79,79
1531470122,56,56
1531471323,94,94
1531472522,77,77
1531473722,73,73
1531474922,55,55
1531475521,63,63
1531476122,75,75
1531476722,66,66
1531477322,35,35
1531478522,91,91
1531479721,89,89
1531480922,77,77
1531482121,63,63
1531483322,87,87
1531483922,50,50
1531484521,47,47
1531485121,18,18
1531485722,77,77
1531486922,78,78
1531488122,90,90
1531489322,78,78
1531489922,67,67
1531490522,42,42
1531491122,78,78
1531491721,64,64
1531492322,64,64
1531492921,48,48
1531493522,42,42
1531494122,50,50
1531494722,53,53
1531495322,73,73
1531495923,40,40
1531496521,56,56
1531497121,59,59
1531497722,36,36
1531498322,55,55
1531498922,57,57
1531499522,34,34
1531500122,89,89
1531501322,97,97
1531501922,86,86
1531502522,78,78
1531503122,71,71
1531503722,53,53
1531504921,90,90
1531506122,89,89
1531506721,58,58
1531507321,79,79
1531507921,71,71
1531508522,46,46
1531509121,60,60
1531509721,51,51
1531510922,80,80
1531512122,100,100
1531513322,59,59
1531514521,68,68
1531515123,56,56
1531515721,47,47
1531516922,98,99
1531518121,89,88
1531519323,96,96
1531520522,96,97
1531521122,87,86
1531521722,41,41
1531522321,78,78
1531522923,77,77
1531523522,87,88
1531524122,87,86
1531525322,60,60
1531526523,98,98
1531527721,98,98
1531528322,19,19
1531528922,38,38
1531530721,89,89
1531531322,46,46
1531532523,73,73
1531533121,83,83
1531533722,35,35
1531534323,65,65
1531534922,47,47
1531535522,42,42
1531536122,80,80
1531537322,82,82
1531537922,51,51
1531538522,54,54
1531539721,76,76
1531540322,59,59
1531540922,46,46
1531542122,54,54
1531542721,47,47
1531543321,68,69
1531544522,85,84
1531545721,84,85
1531546921,75,74
1531547522,65,65
1531548122,51,51
1531548722,42,42
