DateTime,AddedIPs,RemovedIPs
1529932502,249,0
1529936102,137,0
1529939701,140,0
1529943302,136,0
1529946901,86,0
1529950501,102,0
1529954102,78,0
1529958601,98,0
1529962202,85,0
1529965801,95,0
1529969401,192,0
1529973002,76,2979
1529976602,98,0
1529980202,105,0
1529983801,116,0
1529987402,86,0
1529991002,110,0
1529994602,130,0
1529998202,166,0
1530001802,183,0
1530005402,145,0
1530009002,158,0
1530012602,139,0
1530016202,144,0
1530019802,119,0
1530023402,110,0
1530027001,224,0
1530030601,95,0
1530034202,117,0
1530037801,88,0
1530041402,98,0
1530045002,99,0
1530048602,73,0
1530052201,75,0
1530055802,68,0
1530059402,70,3060
1530063002,100,0
1530066601,87,0
1530070202,106,0
1530073802,84,0
1530077402,165,0
1530081001,214,0
1530084602,117,0
1530088202,120,0
1530091801,142,0
1530095402,118,0
1530099002,155,0
1530102602,176,0
1530106202,124,0
1530109802,137,0
1530113402,98,0
1530117001,76,0
1530120601,78,0
1530124202,73,0
1530127802,93,0
1530131402,71,0
1530135002,82,0
1530138602,83,0
1530142201,81,0
1530145801,91,2972
1530149402,116,0
1530153002,94,0
1530156601,121,0
1530160201,94,0
1530163802,114,0
1530167402,149,0
1530171002,170,0
1530174602,159,0
1530178202,145,0
1530181801,152,0
1530185401,146,0
1530189002,132,0
1530192602,134,0
1530196202,147,0
1530199802,111,0
1530203402,89,0
1530207002,113,0
1530210601,82,0
1530214202,76,0
1530217802,75,0
1530221402,125,0
1530225002,91,0
1530228602,63,0
1530232201,82,2639
1530235802,100,0
1530239401,100,0
1530243001,82,0
1530246601,106,0
1530250202,94,0
1530253801,204,0
1530257402,145,0
1530261002,129,0
1530264602,111,0
1530268202,107,0
1530271802,150,0
1530275402,141,0
1530279002,111,0
1530282602,112,0
1530286201,119,0
1530289802,85,0
1530293402,81,0
1530297002,74,0
1530300601,78,0
1530304202,94,0
1530307802,82,0
1530311401,77,0
1530315002,80,0
1530318602,76,2772
1530322202,96,0
1530325801,62,0
1530329401,81,0
1530333002,86,0
1530336602,97,0
1530340202,109,0
1530343801,98,0
1530347402,124,0
1530351002,130,0
1530354602,113,0
1530358202,89,0
1530361802,107,0
1530365402,122,0
1530369002,68,0
1530372602,90,0
1530376202,160,0
1530379802,90,0
1530383402,83,0
1530387001,90,0
1530390602,77,0
1530394202,72,0
1530397802,68,0
1530401402,68,0
