DateTime,AddedIPs,RemovedIPs
1529482913,1,2
1529490109,2,3
1529497443,1,2
1529499254,1,0
1529501795,11,1
1529504508,2,4
1529507213,0,6
1529511697,4,3
1529518909,3,12
1529526101,4,4
1529529694,2,0
1529533299,1,6
1529535103,0,1
1529540491,6,2
1529541393,1,0
1529544995,0,1
1529547693,4,8
1529554893,8,2
1529562107,1,5
1529569300,1,4
1529576491,7,4
1529583702,6,3
1529587295,0,10
1529590893,6,4
1529599003,4,4
1529605300,1,6
1529607104,0,1
1529612501,5,2
1529619693,7,4
1529621499,0,1
1529622400,1,0
1529626893,3,1
1529628692,1,0
1529634093,3,6
1529641280,7,16
1529648493,3,0
1529652100,2,0
1529655687,1,3
1529662893,3,6
1529671128,4,3
1529674594,10,8
1529677290,6,11
1529684497,6,5
1529691685,5,4
1529698884,1,0
1529699791,1,0
1529706097,1,3
1529706987,2,0
1529713288,4,7
1529720492,2,10
1529722285,0,1
1529727687,5,2
1529734899,7,4
1529742093,2,4
1529742988,1,0
1529749280,5,0
1529756494,7,4
1529760987,0,4
1529763686,4,6
1529770889,4,3
1529776284,1,0
1529778085,4,4
1529784380,1,0
1529785285,3,3
1529788880,0,1
1529790684,1,0
1529792492,2,1
1529796094,1,0
1529798778,1,0
1529799680,0,5
1529806886,3,9
1529814076,10,2
1529821287,1,4
1529822177,0,1
1529824877,1,0
1529826694,0,1
1529828485,2,6
1529835677,1,2
1529843033,5,82
1529846510,0,1
1529848279,6,0
1529850087,3,7
1529857281,6,1
1529859976,0,1
1529864485,2,1
1529871679,4,3
1529872582,0,1
1529878875,3,6
1529886086,1,4
1529893278,2,4
1529897777,0,1
1529900475,7,6
1529901378,0,1
1529906779,0,1
1529907682,2,1
1529914876,2,3
1529922080,4,3
1529928383,14,1
1529929279,2,5
1529933778,0,4
1529935628,1,0
1529936476,3,5
1529943685,1,4
1529950876,4,1
1529958980,2,3
1529965272,1,1
1529972469,1,2
1529979678,2,8
1529986884,7,0
1529994074,3,2
1530001283,13,0
1530005775,1,0
1530008484,6,7
1530014817,0,5
1530015814,2,5
1530019318,0,3
1530020171,11,0
1530022021,0,1
1530022865,6,5
1530028273,0,1
1530029164,0,1
1530030065,3,3
1530032769,0,2
1530037279,3,4
1530042674,0,1
1530044470,4,1
1530051672,5,2
1530052580,1,0
1530058876,3,4
1530066073,5,5
1530069660,0,1
1530071468,0,1
1530072369,0,1
1530073269,5,3
1530080471,4,2
1530087666,7,5
1530094871,5,2
1530099360,0,1
1530102073,2,2
1530106561,0,8
1530109283,2,0
1530110165,10,0
1530116468,3,3
1530123672,6,1
1530130865,5,6
1530136273,1,0
1530138061,3,2
1530145272,2,3
1530152462,4,8
1530159677,11,2
1530163267,1,0
1530166859,5,2
1530174061,5,4
1530178572,1,0
1530181258,3,1
1530188613,0,7
1530192972,13,0
1530193856,0,3
1530195664,2,1
1530202860,4,4
1530210063,4,5
1530210968,0,2
1530217269,3,3
1530224462,1,3
1530231661,3,6
1530238857,2,6
1530246060,5,4
1530246975,0,3
1530247865,0,3
1530248770,0,1
1530253261,1,3
1530260473,4,2
1530267659,6,4
1530274866,4,10
1530279362,0,9
1530282063,18,2
1530288356,0,1
1530289261,7,4
1530297360,2,6
1530303668,5,1
1530310852,1,2
1530312661,1,0
1530318063,4,2
1530323453,0,1
1530325272,3,10
1530332465,7,2
1530336955,0,1
1530339664,1,4
1530345069,1,0
1530346858,2,4
1530348651,0,1
1530354057,4,2
1530361419,1,6
1530365768,27,0
1530368470,2,4
1530375656,4,4
1530382865,5,2
1530390054,1,5
1530392770,0,1
1530397253,2,5
1530400857,0,1
1530404471,6,3
1530411659,11,8
1530417961,0,3
1530418854,6,2
1530426062,4,4
1530433267,3,6
1530440456,4,7
1530446765,8,0
1530447665,3,2
1530448560,0,2
1530452161,0,2
1530454863,8,3
1530462060,1,4
1530469253,2,2
1530470162,0,1
1530474667,1,0
1530476454,1,2
1530480062,0,1
1530483658,2,2
1530490852,3,3
1530494449,0,1
1530498059,2,6
1530505255,10,2
1530506156,0,1
1530507958,0,1
1530511554,0,1
1530512459,1,6
1530517851,0,1
1530519656,2,5
1530526856,2,3
1530533285,0,10
1530534207,6,4
1530537663,12,0
1530539467,1,0
1530541254,5,2
1530545750,0,1
1530548452,6,3
1530555655,6,1
1530561051,1,0
1530562844,2,3
1530570045,3,5
1530577250,3,3
1530584450,3,7
1530590744,0,1
1530591651,8,3
1530598843,2,3
1530606055,3,2
1530612341,0,1
1530613246,6,3
1530618651,1,3
1530619618,0,1
1530620452,17,6
1530624943,0,10
1530625850,0,1
1530627637,6,2
1530631246,1,0
1530634837,5,3
1530642045,3,2
1530642949,0,1
1530649249,5,2
1530655551,0,1
1530656448,2,4
1530659139,1,1
1530663640,1,2
1530670845,0,7
1530673542,1,0
1530678038,8,1
1530685238,2,4
1530692440,4,4
1530699632,3,4
1530706981,3,5
1530710436,6,1
1530714044,1,3
1530714947,0,8
1530717644,0,1
1530721241,2,6
1530728449,3,9
1530735635,3,4
1530742844,1,2
1530750035,4,2
1530757248,1,9
1530764442,8,1
1530768043,1,1
1530771641,3,3
1530778843,2,3
1530786039,5,4
1530792372,0,3
1530793239,8,4
1530797743,0,9
1530800434,3,5
1530804047,1,0
1530807641,3,4
1530814840,4,2
1530822050,6,1
1530827445,1,0
1530828352,2,0
1530829241,4,4
1530836447,2,4
1530838244,1,0
1530841836,1,0
1530843641,2,9
1530850839,7,1
1530858040,4,1
1530865250,8,2
1530872442,3,2
1530876048,0,1
1530879790,5,1
1530884144,28,2
1530886846,4,17
1530888637,1,0
1530894037,7,4
1530901252,1,0
1530908433,6,1
1530911140,0,1
1530915644,3,1
1530917434,0,1
1530922841,2,4
1530930036,5,9
1530937241,5,4
1530939048,1,0
1530940835,1,0
1530944446,0,4
1530951638,1,6
1530954339,1,0
1530958840,4,3
1530959744,1,0
1530966032,0,4
1530968746,19,0
1530970543,0,24
1530973239,1,3
1530980443,5,2
1530984944,1,0
1530987639,4,4
1530994851,7,7
1530996642,2,0
1531002046,2,1
1531009240,3,1
1531011036,1,0
1531015540,1,0
1531016438,2,10
1531019143,1,0
1531023650,6,5
1531028149,0,1
1531029043,1,0
1531030856,5,4
1531038055,5,3
1531040752,1,0
1531041643,1,0
1531045251,8,0
1531051671,1,8
1531052586,8,5
1531056048,5,0
1531056951,0,2
1531059652,4,5
1531066851,4,2
1531074047,6,8
1531081252,3,1
1531088448,1,1
1531091149,1,0
1531095656,3,4
1531102836,2,4
1531110040,9,1
1531117240,5,7
1531122646,1,0
1531124446,4,8
1531131648,4,3
1531138850,14,3
1531142439,0,10
1531146046,3,3
1531153237,2,8
1531161342,7,4
1531167643,6,1
1531174865,2,3
1531182054,0,3
1531189248,1,5
1531196446,7,4
1531200042,0,1
1531202742,0,1
1531203642,2,3
1531209049,0,1
1531210851,2,4
1531218043,3,6
1531221643,1,0
1531225397,3,14
1531228956,0,1
1531229747,9,0
1531232446,8,3
1531239647,2,3
1531246850,3,2
1531254053,5,3
1531258549,1,0
1531261244,3,3
1531266643,1,0
1531268449,2,1
1531275650,3,6
1531282845,7,7
1531285560,1,0
1531290043,5,2
1531297248,4,5
1531304430,3,4
1531310756,9,2
1531311645,2,3
1531315242,0,6
1531318848,9,4
1531326062,3,2
1531333247,8,3
1531337750,1,0
1531338650,1,0
1531339540,1,0
1531340441,6,5
1531346749,0,1
1531347664,2,1
1531351251,0,1
1531354857,14,4
1531361149,0,1
1531362042,4,8
1531363844,1,0
1531369252,6,1
1531372848,0,1
1531373750,1,0
1531376451,3,2
1531379149,0,1
1531380046,1,0
1531383646,3,2
1531390848,4,4
1531391741,1,0
1531398167,3,14
1531402555,7,1
1531405242,1,4
1531406145,1,0
1531409740,0,1
1531412465,1,3
1531419650,6,4
1531426852,4,2
1531434052,1,2
1531441249,3,1
1531443047,1,0
1531448451,1,9
1531455648,10,4
1531462861,3,5
1531470047,4,3
1531477249,4,4
1531479050,1,0
1531481750,5,0
1531484451,5,1
1531488948,0,30
1531491646,4,4
1531497946,1,0
1531498836,5,3
1531503341,0,1
1531505146,1,0
1531506036,5,6
1531513244,3,3
1531520437,0,1
1531527647,1,5
1531534837,3,9
1531542043,9,3
1531549238,2,1
1531552839,0,1
1531556446,4,4
1531563636,3,4
1531570833,3,0
1531572641,1,0
1531573537,0,9
1531578029,3,1
1531580739,1,0
1531585234,7,5
1531592434,19,2
1531593335,1,0
1531599642,2,3
1531606846,1,5
1531614167,3,1
1531616936,3,1
1531618689,3147,0
1531619662,3495,1
1531620414,808,0
1531621316,2,10
1531628518,10,3
1531635711,3,2
1531642930,2,4
1531650115,2,3
1531657330,2,5
1531660917,0,4
1531664506,2,6
1531671723,1,0
1531672616,1,0
1531678919,9,3
1531686111,3,5
1531693314,5,2
1531700519,1,3
1531705919,1,0
1531706813,1,0
1531707710,4,6
1531710418,0,1
1531714916,7,2
1531717624,1,0
1531722108,4,4
1531729500,0,3
1531732918,2,0
