DateTime,Entries,UniqueIPs
1529482913,1611,1611
1529490109,1610,1610
1529497443,1609,1609
1529499254,1610,1610
1529501795,1620,1620
1529504508,1618,1618
1529507213,1612,1612
1529511697,1613,1613
1529518909,1604,1604
1529526101,1604,1604
1529529694,1606,1606
1529533299,1601,1601
1529535103,1600,1600
1529540491,1604,1604
1529541393,1605,1605
1529544995,1604,1604
1529547693,1600,1600
1529554893,1606,1606
1529562107,1602,1602
1529569300,1599,1599
1529576491,1602,1602
1529583702,1605,1605
1529587295,1595,1595
1529590893,1597,1597
1529599003,1597,1597
1529605300,1592,1592
1529607104,1591,1591
1529612501,1594,1594
1529619693,1597,1597
1529621499,1596,1596
1529622400,1597,1597
1529626893,1599,1599
1529628692,1600,1600
1529634093,1597,1597
1529641280,1588,1588
1529648493,1591,1591
1529652100,1593,1593
1529655687,1591,1591
1529662893,1588,1588
1529671128,1589,1589
1529674594,1591,1591
1529677290,1586,1586
1529684497,1587,1587
1529691685,1588,1588
1529698884,1589,1589
1529699791,1590,1590
1529706097,1588,1588
1529706987,1590,1590
1529713288,1587,1587
1529720492,1579,1579
1529722285,1578,1578
1529727687,1581,1581
1529734899,1584,1584
1529742093,1582,1582
1529742988,1583,1583
1529749280,1588,1588
1529756494,1591,1591
1529760987,1587,1587
1529763686,1585,1585
1529770889,1586,1586
1529776284,1587,1587
1529778085,1587,1587
1529784380,1588,1588
1529785285,1588,1588
1529788880,1587,1587
1529790684,1588,1588
1529792492,1589,1589
1529796094,1590,1590
1529798778,1591,1591
1529799680,1586,1586
1529806886,1580,1580
1529814076,1588,1588
1529821287,1585,1585
1529822177,1584,1584
1529824877,1585,1585
1529826694,1584,1584
1529828485,1580,1580
1529835677,1579,1579
1529843033,1502,1502
1529846510,1501,1501
1529848279,1507,1507
1529850087,1503,1503
1529857281,1508,1508
1529859976,1507,1507
1529864485,1508,1508
1529871679,1509,1509
1529872582,1508,1508
1529878875,1505,1505
1529886086,1502,1502
1529893278,1500,1500
1529897777,1499,1499
1529900475,1500,1500
1529901378,1499,1499
1529906779,1498,1498
1529907682,1499,1499
1529914876,1498,1498
1529922080,1499,1499
1529928383,1512,1512
1529929279,1509,1509
1529933778,1505,1505
1529935628,1506,1506
1529936476,1504,1504
1529943685,1501,1501
1529950876,1504,1504
1529958980,1503,1503
1529965272,1503,1503
1529972469,1502,1502
1529979678,1496,1496
1529986884,1503,1503
1529994074,1504,1504
1530001283,1517,1517
1530005775,1518,1518
1530008484,1517,1517
1530014817,1512,1512
1530015814,1509,1509
1530019318,1506,1506
1530020171,1517,1517
1530022021,1516,1516
1530022865,1517,1517
1530028273,1516,1516
1530029164,1515,1515
1530030065,1515,1515
1530032769,1513,1513
1530037279,1512,1512
1530042674,1511,1511
1530044470,1514,1514
1530051672,1517,1517
1530052580,1518,1518
1530058876,1517,1517
1530066073,1517,1517
1530069660,1516,1516
1530071468,1515,1515
1530072369,1514,1514
1530073269,1516,1516
1530080471,1518,1518
1530087666,1520,1520
1530094871,1523,1523
1530099360,1522,1522
1530102073,1522,1522
1530106561,1514,1514
1530109283,1516,1516
1530110165,1526,1526
1530116468,1526,1526
1530123672,1531,1531
1530130865,1530,1530
1530136273,1531,1531
1530138061,1532,1532
1530145272,1531,1531
1530152462,1527,1527
1530159677,1536,1536
1530163267,1537,1537
1530166859,1540,1540
1530174061,1541,1541
1530178572,1542,1542
1530181258,1544,1544
1530188613,1537,1537
1530192972,1550,1550
1530193856,1547,1547
1530195664,1548,1548
1530202860,1548,1548
1530210063,1547,1547
1530210968,1545,1545
1530217269,1545,1545
1530224462,1543,1543
1530231661,1540,1540
1530238857,1536,1536
1530246060,1537,1537
1530246975,1534,1534
1530247865,1531,1531
1530248770,1530,1530
1530253261,1528,1528
1530260473,1530,1530
1530267659,1532,1532
1530274866,1526,1526
1530279362,1517,1517
1530282063,1533,1533
1530288356,1532,1532
1530289261,1535,1535
1530297360,1531,1531
1530303668,1535,1535
1530310852,1534,1534
1530312661,1535,1535
1530318063,1537,1537
1530323453,1536,1536
1530325272,1529,1529
1530332465,1534,1534
1530336955,1533,1533
1530339664,1530,1530
1530345069,1531,1531
1530346858,1529,1529
1530348651,1528,1528
1530354057,1530,1530
1530361419,1525,1525
1530365768,1552,1552
1530368470,1550,1550
1530375656,1550,1550
1530382865,1553,1553
1530390054,1549,1549
1530392770,1548,1548
1530397253,1545,1545
1530400857,1544,1544
1530404471,1547,1547
1530411659,1550,1550
1530417961,1547,1547
1530418854,1551,1551
1530426062,1551,1551
1530433267,1548,1548
1530440456,1545,1545
1530446765,1553,1553
1530447665,1554,1554
1530448560,1552,1552
1530452161,1550,1550
1530454863,1555,1555
1530462060,1552,1552
1530469253,1552,1552
1530470162,1551,1551
1530474667,1552,1552
1530476454,1551,1551
1530480062,1550,1550
1530483658,1550,1550
1530490852,1550,1550
1530494449,1549,1549
1530498059,1545,1545
1530505255,1553,1553
1530506156,1552,1552
1530507958,1551,1551
1530511554,1550,1550
1530512459,1545,1545
1530517851,1544,1544
1530519656,1541,1541
1530526856,1540,1540
1530533285,1530,1530
1530534207,1532,1532
1530537663,1544,1544
1530539467,1545,1545
1530541254,1548,1548
1530545750,1547,1547
1530548452,1550,1550
1530555655,1555,1555
1530561051,1556,1556
1530562844,1555,1555
1530570045,1553,1553
1530577250,1553,1553
1530584450,1549,1549
1530590744,1548,1548
1530591651,1553,1553
1530598843,1552,1552
1530606055,1553,1553
1530612341,1552,1552
1530613246,1555,1555
1530618651,1553,1553
1530619618,1552,1552
1530620452,1563,1563
1530624943,1553,1553
1530625850,1552,1552
1530627637,1556,1556
1530631246,1557,1557
1530634837,1559,1559
1530642045,1560,1560
1530642949,1559,1559
1530649249,1562,1562
1530655551,1561,1561
1530656448,1559,1559
1530659139,1559,1559
1530663640,1558,1558
1530670845,1551,1551
1530673542,1552,1552
1530678038,1559,1559
1530685238,1557,1557
1530692440,1557,1557
1530699632,1556,1556
1530706981,1554,1554
1530710436,1559,1559
1530714044,1557,1557
1530714947,1549,1549
1530717644,1548,1548
1530721241,1544,1544
1530728449,1538,1538
1530735635,1537,1537
1530742844,1536,1536
1530750035,1538,1538
1530757248,1530,1530
1530764442,1537,1537
1530768043,1537,1537
1530771641,1537,1537
1530778843,1536,1536
1530786039,1537,1537
1530792372,1534,1534
1530793239,1538,1538
1530797743,1529,1529
1530800434,1527,1527
1530804047,1528,1528
1530807641,1527,1527
1530814840,1529,1529
1530822050,1534,1534
1530827445,1535,1535
1530828352,1537,1537
1530829241,1537,1537
1530836447,1535,1535
1530838244,1536,1536
1530841836,1537,1537
1530843641,1530,1530
1530850839,1536,1536
1530858040,1539,1539
1530865250,1545,1545
1530872442,1546,1546
1530876048,1545,1545
1530879790,1549,1549
1530884144,1575,1575
1530886846,1562,1562
1530888637,1563,1563
1530894037,1566,1566
1530901252,1567,1567
1530908433,1572,1572
1530911140,1571,1571
1530915644,1573,1573
1530917434,1572,1572
1530922841,1570,1570
1530930036,1566,1566
1530937241,1567,1567
1530939048,1568,1568
1530940835,1569,1569
1530944446,1565,1565
1530951638,1560,1560
1530954339,1561,1561
1530958840,1562,1562
1530959744,1563,1563
1530966032,1559,1559
1530968746,1578,1578
1530970543,1554,1554
1530973239,1552,1552
1530980443,1555,1555
1530984944,1556,1556
1530987639,1556,1556
1530994851,1556,1556
1530996642,1558,1558
1531002046,1559,1559
1531009240,1561,1561
1531011036,1562,1562
1531015540,1563,1563
1531016438,1555,1555
1531019143,1556,1556
1531023650,1557,1557
1531028149,1556,1556
1531029043,1557,1557
1531030856,1558,1558
1531038055,1560,1560
1531040752,1561,1561
1531041643,1562,1562
1531045251,1570,1570
1531051671,1563,1563
1531052586,1566,1566
1531056048,1571,1571
1531056951,1569,1569
1531059652,1568,1568
1531066851,1570,1570
1531074047,1568,1568
1531081252,1570,1570
1531088448,1570,1570
1531091149,1571,1571
1531095656,1570,1570
1531102836,1568,1568
1531110040,1576,1576
1531117240,1574,1574
1531122646,1575,1575
1531124446,1571,1571
1531131648,1572,1572
1531138850,1583,1583
1531142439,1573,1573
1531146046,1573,1573
1531153237,1567,1567
1531161342,1570,1570
1531167643,1575,1575
1531174865,1574,1574
1531182054,1571,1571
1531189248,1567,1567
1531196446,1570,1570
1531200042,1569,1569
1531202742,1568,1568
1531203642,1567,1567
1531209049,1566,1566
1531210851,1564,1564
1531218043,1561,1561
1531221643,1562,1562
1531225397,1551,1551
1531228956,1550,1550
1531229747,1559,1559
1531232446,1564,1564
1531239647,1563,1563
1531246850,1564,1564
1531254053,1566,1566
1531258549,1567,1567
1531261244,1567,1567
1531266643,1568,1568
1531268449,1569,1569
1531275650,1566,1566
1531282845,1566,1566
1531285560,1567,1567
1531290043,1570,1570
1531297248,1569,1569
1531304430,1568,1568
1531310756,1575,1575
1531311645,1574,1574
1531315242,1568,1568
1531318848,1573,1573
1531326062,1574,1574
1531333247,1579,1579
1531337750,1580,1580
1531338650,1581,1581
1531339540,1582,1582
1531340441,1583,1583
1531346749,1582,1582
1531347664,1583,1583
1531351251,1582,1582
1531354857,1592,1592
1531361149,1591,1591
1531362042,1587,1587
1531363844,1588,1588
1531369252,1593,1593
1531372848,1592,1592
1531373750,1593,1593
1531376451,1594,1594
1531379149,1593,1593
1531380046,1594,1594
1531383646,1595,1595
1531390848,1595,1595
1531391741,1596,1596
1531398167,1585,1585
1531402555,1591,1591
1531405242,1588,1588
1531406145,1589,1589
1531409740,1588,1588
1531412465,1586,1586
1531419650,1588,1588
1531426852,1590,1590
1531434052,1589,1589
1531441249,1591,1591
1531443047,1592,1592
1531448451,1584,1584
1531455648,1590,1590
1531462861,1588,1588
1531470047,1589,1589
1531477249,1589,1589
1531479050,1590,1590
1531481750,1595,1595
1531484451,1599,1599
1531488948,1569,1569
1531491646,1569,1569
1531497946,1570,1570
1531498836,1572,1572
1531503341,1571,1571
1531505146,1572,1572
1531506036,1571,1571
1531513244,1571,1571
1531520437,1570,1570
1531527647,1566,1566
1531534837,1560,1560
1531542043,1566,1566
1531549238,1567,1567
1531552839,1566,1566
1531556446,1566,1566
1531563636,1565,1565
1531570833,1568,1568
1531572641,1569,1569
1531573537,1560,1560
1531578029,1562,1562
1531580739,1563,1563
1531585234,1565,1565
1531592434,1582,1582
1531593335,1583,1583
1531599642,1582,1582
1531606846,1578,1578
1531614167,1580,1580
1531616936,1582,1582
1531618689,4729,4729
1531619662,8223,8223
1531620414,9031,9031
1531621316,9023,9023
1531628518,9030,9030
1531635711,9031,9031
1531642930,9029,9029
1531650115,9028,9028
1531657330,9025,9025
1531660917,9021,9021
1531664506,9017,9017
1531671723,9018,9018
1531672616,9019,9019
1531678919,9025,9025
1531686111,9023,9023
1531693314,9026,9026
1531700519,9024,9024
1531705919,9025,9025
1531706813,9026,9026
1531707710,9024,9024
1531710418,9023,9023
1531714916,9028,9028
1531717624,9029,9029
1531722108,9029,9029
1531729500,9026,9026
1531732918,9028,9028
