DateTime,AddedIPs,RemovedIPs
1529586168,3,0
1529589828,0,1
1529593368,0,1
1529596968,1,0
1529600628,1,5
1529607769,1,2
1529611429,2,1
1529614969,3,1
1529618569,4,0
1529622168,0,1
1529625768,1,2
1529629368,0,2
1529632970,2,3
1529636628,3,0
1529640229,3,2
1529643769,1,26
1529654568,1,0
1529658170,1,3
1529661829,2,1
1529663269,1,0
1529668972,1,0
1529672569,2,1
1529676169,2,0
1529679769,3,0
1529683369,2,1
1529687030,3,0
1529690569,0,1
1529694229,0,2
1529697769,0,2
1529704969,1,0
1529708570,1,0
1529712169,2,1
1529715770,0,1
1529719370,2,0
1529722969,2,6
1529726569,2,0
1529730174,2,4
1529733774,3,0
1529737433,2,2
1529740973,0,2
1529743670,2,0
1529748233,2,0
1529751774,2,0
1529755371,1,1
1529758970,1,0
1529762570,1,1
1529766172,1,0
1529769770,1,1
1529773372,3,0
1529776974,1,3
1529780631,0,1
1529784171,2,0
1529787771,1,0
1529798571,0,2
1529805110,1,3
1529805771,0,4
1529809371,6,0
1529813031,3,7
1529820177,0,4
1529823831,1,0
1529827372,0,5
1529834812,0,1
1529838171,2,0
1529841834,2,2
1529845372,2,3
1529848972,1,1
1529852572,1,3
1529856175,0,3
1529859772,0,1
1529863372,1,1
1529866972,1,0
1529870575,0,2
1529874176,2,3
1529877772,1,0
1529881372,0,1
1529888574,0,6
1529892232,2,1
1529895832,4,4
1529899374,1,2
1529903032,2,1
1529906574,0,2
1529910173,1,1
1529917373,1,1
1529918332,3,0
1529921032,0,4
1529928293,1,1
1529931772,2,0
1529935372,1,0
1529938973,1,2
1529942574,0,1
1529946173,1,1
1529949772,0,1
1529953372,0,1
1529956973,2,0
1529960573,1,0
1529974972,1,0
1529978573,1,0
1529982172,4,3
1529985834,2,3
1529988952,1,0
1529992972,2,1
1529996563,0,1
1530000163,2,1
1530003763,2,0
1530007363,2,0
1530014563,2,0
1530016003,1,0
1530018164,0,1
1530021765,1,0
1530025363,1,3
1530028963,2,0
1530032564,0,2
1530039765,2,1
1530043365,2,0
1530046964,1,0
1530050563,2,1
1530054165,2,1
1530064963,4,2
1530068564,3,0
1530072167,2,5
1530079364,1,2
1530082965,0,1
1530086626,7,0
1530093765,3,1
1530097424,0,1
1530100964,2,0
1530104564,1,1
1530108165,0,1
1530111765,0,1
1530115365,1,0
