DateTime,Entries,UniqueIPs
1529586168,1686,1804
1529589828,1685,1803
1529593368,1684,1802
1529596968,1685,1803
1529600628,1681,1799
1529607769,1680,1798
1529611429,1681,1799
1529614969,1683,1801
1529618569,1687,1805
1529622168,1686,1804
1529625768,1685,1803
1529629368,1683,1801
1529632970,1682,1800
1529636628,1684,1803
1529640229,1685,1804
1529643769,1675,1779
1529654568,1676,1780
1529658170,1674,1778
1529661829,1675,1779
1529663269,1676,1780
1529668972,1677,1781
1529672569,1678,1782
1529676169,1680,1784
1529679769,1683,1787
1529683369,1683,1788
1529687030,1686,1791
1529690569,1685,1790
1529694229,1683,1788
1529697769,1681,1786
1529704969,1682,1787
1529708570,1683,1788
1529712169,1684,1789
1529715770,1683,1788
1529719370,1685,1790
1529722969,1681,1786
1529726569,1683,1788
1529730174,1680,1786
1529733774,1683,1789
1529737433,1683,1789
1529740973,1681,1787
1529743670,1683,1789
1529748233,1685,1791
1529751774,1687,1793
1529755371,1687,1793
1529758970,1688,1794
1529762570,1688,1794
1529766172,1689,1795
1529769770,1689,1795
1529773372,1692,1798
1529776974,1690,1796
1529780631,1689,1795
1529784171,1691,1797
1529787771,1692,1798
1529798571,1690,1796
1529805110,1688,1794
1529805771,1685,1790
1529809371,1691,1796
1529813031,1687,1792
1529820177,1683,1788
1529823831,1684,1789
1529827372,1679,1784
1529834812,1678,1783
1529838171,1680,1785
1529841834,1680,1785
1529845372,1679,1784
1529848972,1679,1784
1529852572,1677,1782
1529856175,1674,1779
1529859772,1673,1778
1529863372,1673,1778
1529866972,1674,1779
1529870575,1672,1777
1529874176,1671,1776
1529877772,1672,1777
1529881372,1671,1776
1529888574,1665,1770
1529892232,1666,1771
1529895832,1666,1771
1529899374,1665,1770
1529903032,1666,1771
1529906574,1664,1769
1529910173,1664,1769
1529917373,1664,1769
1529918332,1667,1772
1529921032,1663,1768
1529928293,1663,1768
1529931772,1665,1770
1529935372,1666,1771
1529938973,1665,1770
1529942574,1664,1769
1529946173,1664,1769
1529949772,1663,1768
1529953372,1662,1767
1529956973,1664,1769
1529960573,1665,1770
1529974972,1666,1771
1529978573,1667,1772
1529982172,1668,1773
1529985834,1667,1772
1529988952,1668,1773
1529992972,1669,1774
1529996563,1668,1773
1530000163,1669,1774
1530003763,1670,1776
1530007363,1672,1778
1530014563,1674,1780
1530016003,1675,1781
1530018164,1674,1780
1530021765,1675,1781
1530025363,1673,1779
1530028963,1675,1781
1530032564,1673,1779
1530039765,1674,1780
1530043365,1675,1782
1530046964,1676,1783
1530050563,1677,1784
1530054165,1678,1785
1530064963,1680,1787
1530068564,1683,1790
1530072167,1680,1787
1530079364,1679,1786
1530082965,1678,1785
1530086626,1683,1792
1530093765,1685,1794
1530097424,1684,1793
1530100964,1686,1795
1530104564,1686,1795
1530108165,1685,1794
1530111765,1684,1793
1530115365,1685,1794
1530118965,1684,1793
1530122565,1687,1796
1530126165,1691,1800
1530133364,1691,1801
1530140384,1692,1802
1530144166,1691,1801
1530147766,1691,1801
1530151365,1690,1800
1530154965,1695,1805
1530158926,1698,1808
1530162225,1702,1812
1530165766,1701,1811
1530169365,1700,1811
1530173145,1702,1813
1530180167,1701,1812
1530183766,1700,1811
1530187365,1696,1807
1530194626,1697,1808
1530198166,1697,1808
