DateTime,AddedIPs,RemovedIPs
1529823831,2,1
1529827372,0,1
1529830975,1,1
1529834812,2,1
1529838171,3,3
1529841834,3,3
1529845372,2,1
1529848972,1,2
1529852572,5,5
1529856175,2,2
1529859772,0,2
1529863372,2,0
1529866972,2,1
1529870575,2,3
1529874176,2,0
1529877772,1,0
1529881372,0,1
1529892232,3,4
1529895832,5,4
1529899374,2,1
1529903032,2,2
1529910173,1,2
1529913773,3,0
1529917373,2,0
1529918332,3,3
1529924573,0,1
1529928293,1,1
1529931772,2,1
1529935372,2,1
1529938973,1,1
1529942574,2,0
1529946173,1,1
1529949772,0,1
1529956973,2,1
1529960573,2,4
1529964234,1,2
1529971374,0,1
1529974972,1,2
1529978573,1,1
1529982172,4,6
1529985834,2,7
1529988952,2,0
1529992972,2,3
1529994703,0,1
1529996563,18,0
1530000163,2,2
1530003763,3,0
1530007363,2,3
1530011023,2,0
1530014563,2,0
1530016003,2,0
1530021765,2,3
1530025363,1,0
1530028963,2,1
1530032564,2,3
1530036163,0,2
1530039765,2,2
1530043365,3,2
1530046964,1,4
1530050563,3,0
1530054165,3,1
1530057764,0,1
1530061424,0,2
1530064963,4,3
1530068564,3,3
1530072167,3,3
1530075764,0,1
1530079364,1,3
1530081584,0,5
1530086626,7,1
1530090164,0,1
1530093765,5,1
1530097424,0,1
1530100964,2,2
1530104564,1,1
1530108165,0,6
1530111765,2,1
1530115365,2,0
1530118965,3,3
1530122565,3,2
1530126165,5,3
1530133364,2,2
1530136966,2,0
1530140384,1,1
1530140624,0,3
1530147766,3,0
1530151365,2,2
1530154965,7,5
1530158926,4,6
1530162225,5,2
1530169365,1,1
1530173145,3,4
1530180167,3,3
1530187365,0,1
1530190965,2,0
1530194626,2,1
1530198166,1,3
1530201766,2,1
1530205367,3,4
1530208966,2,2
1530212566,0,3
1530216166,1,1
1530219767,0,3
1530223365,1,1
1530227025,1,4
1530230566,0,2
1530234166,1,0
1530237838,1,2
1530241369,4,6
1530244967,2,1
1530248642,0,1
1530252166,1,2
1530255767,1,4
1530259366,1,0
1530262967,4,6
1530266582,2,2
1530270167,0,2
1530273826,3,2
1530277428,3,0
1530281027,2,2
1530284567,4,2
1530288226,3,3
1530291767,2,3
1530295366,2,2
1530298967,3,0
1530302626,2,2
1530309767,0,1
1530313368,2,0
1530316967,3,3
1530324167,2,2
1530327766,4,5
1530331367,1,2
1530334968,2,1
1530338567,0,1
1530342167,2,4
1530349367,1,2
1530352968,1,2
1530356568,0,3
1530360168,1,0
1530363768,1,3
1530367368,1,2
1530370968,3,3
1530374569,1,0
1530378169,2,0
1530381829,3,1
1530385428,0,1
1530388969,1,0
1530392568,1,2
1530396229,1,1
1530399828,1,5
1530403369,4,2
1530406968,4,0
1530410569,9,3
1530414169,4,4
1530417769,2,2
1530425029,4,3
1530428629,1,1
1530432169,2,1
1530435769,2,0
1530439368,3,1
1530446568,2,2
1530450229,3,4
1530453829,3,2
1530457369,1,2
1530461029,1,1
1530464569,1,0
1530468169,2,1
1530471829,2,0
1530475369,2,0
1530478969,1,3
1530486169,2,1
1530489769,1,2
1530493429,0,1
1530496968,3,2
1530500569,3,2
1530504169,4,5
1530511429,1,0
1530515028,1,1
1530522229,1,2
1530525829,1,2
1530529370,4,1
1530533030,2,2
1530536629,4,4
1530538069,1,2
1530543772,1,2
1530547369,4,1
1530550969,2,3
1530554629,3,1
1530558171,1,2
1530561773,2,12
1530565371,0,2
1530568969,2,3
1530576169,2,2
1530579772,2,1
1530583371,3,1
1530587030,5,5
1530590571,4,3
1530594169,1,0
1530597770,0,2
1530601371,0,1
1530604970,2,4
1530608571,4,1
1530612170,3,2
1530615290,3,2
1530619371,5,3
1530623032,1,3
1530626570,3,4
1530630170,1,2
1530633770,4,3
1530637373,3,2
1530640971,1,1
1530644572,2,2
1530648231,2,1
1530651770,1,0
1530655370,1,1
1530658970,1,3
1530666170,1,0
1530669770,0,5
1530673370,4,7
1530677031,4,2
1530680570,1,0
1530684171,1,0
1530687772,2,2
1530691372,1,0
1530694972,2,1
1530698571,1,1
1530702172,2,0
1530705832,0,1
1530709372,1,1
1530712971,1,1
1530716572,3,4
1530723771,2,2
1530727371,1,4
1530730971,1,0
1530738172,1,0
1530741772,2,0
1530745372,1,2
1530748972,4,0
1530752571,1,1
1530756232,1,1
1530759772,3,6
1530763372,3,3
1530766972,1,2
1530770572,2,2
1530774231,1,5
1530781372,4,2
1530783112,1,2
1530784973,1,3
1530792172,2,3
1530795773,3,3
1530799373,1,0
1530802972,1,0
1530806572,2,2
1530810173,2,4
1530813833,1,1
1530817372,6,4
1530824572,0,3
1530828172,2,3
1530831833,0,1
1530835373,2,1
1530838974,0,1
1530842632,1,0
1530846172,3,3
1530849773,4,5
1530853373,2,3
1530856973,1,1
1530860633,1,2
1530864203,11,1
1530867802,1,3
1530871341,2,0
1530874941,2,1
1530882263,3,4
1530885742,3,1
1530889342,4,5
1530893002,3,1
1530896601,2,0
1530903802,2,5
1530907342,3,1
1530910942,1,2
1530914602,1,0
1530918202,2,0
1530921802,1,0
1530925403,2,2
1530926602,3,3
1530929003,1,0
1530932542,1,2
1530936202,3,3
1530939802,0,1
1530947003,0,1
1530950542,1,10
1530954202,0,5
1530957802,2,4
1530961343,0,3
1530965003,0,2
1530968062,1,0
1530972143,0,3
1530975804,1,1
1530979342,4,1
1530982942,1,1
1530986603,3,3
1530990203,3,0
1530993804,5,4
1530997342,1,1
1531001002,1,0
1531004543,3,2
1531008204,2,1
1531011804,0,2
1531015344,1,1
1531019003,3,4
1531022544,2,2
1531026145,2,0
1531029804,3,4
1531033404,1,1
1531036943,1,0
1531041623,10,6
1531047743,8,5
1531051344,2,0
1531055005,3,1
1531058605,1,2
1531062144,3,1
1531065744,0,4
1531069405,4,2
1531073004,2,0
1531076603,1,0
1531080144,1,1
1531083804,1,1
1531087405,1,1
1531091003,4,2
1531094605,1,1
1531098205,0,1
1531101804,1,1
1531105404,4,3
1531108946,5,3
1531112605,3,3
1531116204,2,3
1531119804,2,0
1531123404,1,2
1531126945,2,2
1531130605,2,1
1531134145,1,1
1531137805,2,2
1531141404,0,2
1531145005,1,0
1531148604,1,2
1531152151,1,2
1531155745,1,1
1531159405,5,2
1531163004,3,2
1531166606,1,0
1531170146,2,2
1531173804,1,2
1531177344,0,1
1531180946,1,1
1531184725,1,8
1531188205,1,1
1531191745,2,2
1531195346,4,5
1531199006,1,0
1531202605,1,0
1531209805,1,3
1531213345,1,1
1531216945,2,2
1531220545,1,1
1531224146,2,4
1531227806,2,3
1531231346,4,3
1531234950,1,2
1531238607,2,3
1531242206,3,3
1531245747,1,0
1531249406,2,3
1531252946,3,1
1531256545,0,2
1531260146,1,1
1531267406,1,1
1531271006,1,0
1531274545,3,0
1531278146,3,7
1531281806,4,2
1531285406,2,3
1531289006,1,1
1531292606,2,3
1531296206,3,1
1531299806,1,0
1531303346,2,3
1531310546,2,4
1531314206,4,1
1531317806,4,0
1531321346,3,0
1531325006,1,2
1531326986,4,2
1531328546,1,0
1531332208,4,3
1531335807,4,5
1531339347,2,4
1531342947,1,2
1531346551,2,0
1531350207,11,0
1531353748,4,1
1531357348,1,1
1531361007,3,4
1531364548,1,4
